topic,crops,parameter,fact_type,statement,value,min_value,max_value,unit,condition,action,evidence_quote,confidence,source_file,source_name,page_start,page_end,section,chunk_id,relevance_score,provenance,knowledge_text,fact_id
cassava_cuttings,cassava,cuttings diameter,requirement,Cassava cuttings should be at least 2 cm in diameter.,2.0,,,cm,freshly harvested cuttings,None,freshly harvested (of at least 2 cm diameter and 20-25 cm long),0.99,/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf,CassavaGuide_A5_colour_lowres.pdf,18,18,,7a7e69e47d097873432301309d86b22031c23ded,0.5223,"[{""source_name"": ""CassavaGuide_A5_colour_lowres.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf"", ""page_start"": 18, ""page_end"": 18, ""chunk_id"": ""7a7e69e47d097873432301309d86b22031c23ded"", ""evidence_quote"": ""freshly harvested (of at least 2 cm diameter and 20-25 cm long)""}]","Crop: cassava
Parameter: cuttings diameter
Fact: Cassava cuttings should be at least 2 cm in diameter.
Explicit value: 2 cm
Condition: freshly harvested cuttings
Recommended action: None",8d6dfa2c207f16fea9c6d007e9c1991837ec4cdb
cassava_cuttings,cassava,cuttings length,acceptable_range,Cassava cuttings should be 20-25 cm long.,,20.0,25.0,cm,freshly harvested cuttings,None,freshly harvested (of at least 2 cm diameter and 20-25 cm long),0.99,/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf,CassavaGuide_A5_colour_lowres.pdf,18,18,,7a7e69e47d097873432301309d86b22031c23ded,0.5223,"[{""source_name"": ""CassavaGuide_A5_colour_lowres.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf"", ""page_start"": 18, ""page_end"": 18, ""chunk_id"": ""7a7e69e47d097873432301309d86b22031c23ded"", ""evidence_quote"": ""freshly harvested (of at least 2 cm diameter and 20-25 cm long)""}]","Crop: cassava
Parameter: cuttings length
Fact: Cassava cuttings should be 20-25 cm long.
Explicit range: 20 to 25 cm
Condition: freshly harvested cuttings
Recommended action: None",1cf5ae5ae25d04c88003232f4822935d916b057e
cassava_economics,cassava,yield difference,other_agronomic_fact,"For an efficient variety, the difference in yield with fertilizer versus without fertilizer is 11 units.",11.0,,,None,"efficient variety, yield with fertilizer minus yield without fertilizer",None,21 – 10 = 11,0.98,/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf,CassavaGuide_A5_colour_lowres.pdf,61,61,,05c9f39cfbe000ea987f16dc9dc358a263ec62bd,0.5572,"[{""source_name"": ""CassavaGuide_A5_colour_lowres.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf"", ""page_start"": 61, ""page_end"": 61, ""chunk_id"": ""05c9f39cfbe000ea987f16dc9dc358a263ec62bd"", ""evidence_quote"": ""21 – 10 = 11""}]","Crop: cassava
Parameter: yield difference
Fact: For an efficient variety, the difference in yield with fertilizer versus without fertilizer is 11 units.
Explicit value: 11 None
Condition: efficient variety, yield with fertilizer minus yield without fertilizer
Recommended action: None",e30389a1bad589ea28ea478f64f6a5138020e09e
cassava_economics,cassava,yield difference,other_agronomic_fact,"For an inefficient variety, the difference in yield with fertilizer versus without fertilizer is 3 units.",3.0,,,None,"inefficient variety, yield with fertilizer minus yield without fertilizer",None,13 – 10 = 3,0.98,/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf,CassavaGuide_A5_colour_lowres.pdf,61,61,,05c9f39cfbe000ea987f16dc9dc358a263ec62bd,0.5572,"[{""source_name"": ""CassavaGuide_A5_colour_lowres.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf"", ""page_start"": 61, ""page_end"": 61, ""chunk_id"": ""05c9f39cfbe000ea987f16dc9dc358a263ec62bd"", ""evidence_quote"": ""13 – 10 = 3""}]","Crop: cassava
Parameter: yield difference
Fact: For an inefficient variety, the difference in yield with fertilizer versus without fertilizer is 3 units.
Explicit value: 3 None
Condition: inefficient variety, yield with fertilizer minus yield without fertilizer
Recommended action: None",5c22386cbc86fce013a5ea719fb6849ff7f4a53d
cassava_fertilizer,cassava,n-p-k fertilizer application timing,growth_stage_requirement,"For N-P-K fertilizer, one-third of the total quantity should be applied 4-6 weeks after planting, one-third at 10-12 weeks, and the rest at 16-20 weeks.",,,,None,N-P-K fertilizer,"Apply one-third of total N-P-K fertilizer at 4-6 weeks after planting, one-third at 10-12 weeks, and the rest at 16-20 weeks.","For N-P-K, one-third of the total quantity of fertilizer required should be applied 4–6 weeks after planting, one-third at 10–12 weeks, the rest at 16–20 weeks.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf,CassavaGuide_A5_colour_lowres.pdf,54,54,,37966dd7b0712b310c79e5ebb1b8470aa24cf4b3,0.6012,"[{""source_name"": ""CassavaGuide_A5_colour_lowres.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf"", ""page_start"": 54, ""page_end"": 54, ""chunk_id"": ""37966dd7b0712b310c79e5ebb1b8470aa24cf4b3"", ""evidence_quote"": ""For N-P-K, one-third of the total quantity of fertilizer required should be applied 4–6 weeks after planting, one-third at 10–12 weeks, the rest at 16–20 weeks.""}]","Crop: cassava
Parameter: n-p-k fertilizer application timing
Fact: For N-P-K fertilizer, one-third of the total quantity should be applied 4-6 weeks after planting, one-third at 10-12 weeks, and the rest at 16-20 weeks.
Condition: N-P-K fertilizer
Recommended action: Apply one-third of total N-P-K fertilizer at 4-6 weeks after planting, one-third at 10-12 weeks, and the rest at 16-20 weeks.",54cd1d11e2e80b98d2fc692ca3868068a0947262
cassava_management,cassava,failed cuttings disposal,management_action,Cuttings that do not sprout should be removed and disposed of away from the cropping area to prevent disease transmission.,,,,None,cuttings that do not sprout,Remove and dispose of failed cuttings away from the cropping area,Cuttings that do not sprout should be removed and disposed of away from the cropping area in order to prevent the transmission of any disease that may have caused the failure of the cuttings,0.99,/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf,CassavaGuide_A5_colour_lowres.pdf,28,28,,a3fb7e08fb9820f77a22a1b1c35f054c0ff4bb08,0.5302,"[{""source_name"": ""CassavaGuide_A5_colour_lowres.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf"", ""page_start"": 28, ""page_end"": 28, ""chunk_id"": ""a3fb7e08fb9820f77a22a1b1c35f054c0ff4bb08"", ""evidence_quote"": ""Cuttings that do not sprout should be removed and disposed of away from the cropping area in order to prevent the transmission of any disease that may have caused the failure of the cuttings""}]","Crop: cassava
Parameter: failed cuttings disposal
Fact: Cuttings that do not sprout should be removed and disposed of away from the cropping area to prevent disease transmission.
Condition: cuttings that do not sprout
Recommended action: Remove and dispose of failed cuttings away from the cropping area",fab2b750b4b0bbd7b38be86ece75fbab7120798a
cassava_management,cassava,sprouting rate,threshold,"Under normal conditions, about 90% of all cassava cuttings planted sprout within 2 weeks of planting.",90.0,,,%,"normal conditions, within 2 weeks of planting",None,"Under normal conditions, about 90% of all cassava cuttings planted sprout within 2 weeks of planting.",0.99,/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf,CassavaGuide_A5_colour_lowres.pdf,28,28,,a3fb7e08fb9820f77a22a1b1c35f054c0ff4bb08,0.5302,"[{""source_name"": ""CassavaGuide_A5_colour_lowres.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf"", ""page_start"": 28, ""page_end"": 28, ""chunk_id"": ""a3fb7e08fb9820f77a22a1b1c35f054c0ff4bb08"", ""evidence_quote"": ""Under normal conditions, about 90% of all cassava cuttings planted sprout within 2 weeks of planting.""}]","Crop: cassava
Parameter: sprouting rate
Fact: Under normal conditions, about 90% of all cassava cuttings planted sprout within 2 weeks of planting.
Explicit value: 90 %
Condition: normal conditions, within 2 weeks of planting
Recommended action: None",c5dad7a8d991865721d5be3f74d8102815674698
cassava_production_economics,cassava,yield,other_agronomic_fact,A farmer obtained yields of 10 tonnes per hectare of fresh roots with no fertilizer.,10.0,,,t/ha,no fertilizer,None,a farmer who has been obtaining yields of 10 tonnes per hectare of fresh roots with no fertilizer,0.98,/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf,CassavaGuide_A5_colour_lowres.pdf,59,59,,0ea78c5d1ab368fd927f60e20a7898108d5e770c,0.6319,"[{""source_name"": ""CassavaGuide_A5_colour_lowres.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf"", ""page_start"": 59, ""page_end"": 59, ""chunk_id"": ""0ea78c5d1ab368fd927f60e20a7898108d5e770c"", ""evidence_quote"": ""a farmer who has been obtaining yields of 10 tonnes per hectare of fresh roots with no fertilizer""}]","Crop: cassava
Parameter: yield
Fact: A farmer obtained yields of 10 tonnes per hectare of fresh roots with no fertilizer.
Explicit value: 10 t/ha
Condition: no fertilizer
Recommended action: None",1dc40dc626bf354576854af38a211340bf7bf8ca
cassava_yield,cassava,fresh root yield,optimal_range,Cassava production can be intensified to increase yields from about 10 tonnes per hectare to 16 tonnes per hectare (fresh roots).,,10.0,16.0,tonnes per hectare,fresh roots,None,intensify their cassava production to increase yields from about 10 tonnes per hectare to 16 tonnes per hectare (fresh roots),0.98,/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf,CassavaGuide_A5_colour_lowres.pdf,7,7,,a3d15cd02343519e8f480800e2916bba21d53f80,0.5674,"[{""source_name"": ""CassavaGuide_A5_colour_lowres.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf"", ""page_start"": 7, ""page_end"": 7, ""chunk_id"": ""a3d15cd02343519e8f480800e2916bba21d53f80"", ""evidence_quote"": ""intensify their cassava production to increase yields from about 10 tonnes per hectare to 16 tonnes per hectare (fresh roots)""}]","Crop: cassava
Parameter: fresh root yield
Fact: Cassava production can be intensified to increase yields from about 10 tonnes per hectare to 16 tonnes per hectare (fresh roots).
Explicit range: 10 to 16 tonnes per hectare
Condition: fresh roots
Recommended action: None",23167dd3c0d987418679e02fe3a721b7ceaa7786
cassava_yield,cassava,root yield per plant,requirement,Each cassava stand needs to produce an average of 1.6 kg of useful roots to generate 16 tonnes of fresh cassava roots per hectare.,1.6,,,kg,"planted at 10,000 plants per hectare to achieve 16 tonnes per hectare",None,each cassava stand will need to produce an average of 1.6 kg of useful roots to generate 16 tonnes of fresh cassava roots per hectare,0.98,/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf,CassavaGuide_A5_colour_lowres.pdf,53,53,,35176817b746e127eb846c8eb718841b1ebdfa7c,0.5915,"[{""source_name"": ""CassavaGuide_A5_colour_lowres.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf"", ""page_start"": 53, ""page_end"": 53, ""chunk_id"": ""35176817b746e127eb846c8eb718841b1ebdfa7c"", ""evidence_quote"": ""each cassava stand will need to produce an average of 1.6 kg of useful roots to generate 16 tonnes of fresh cassava roots per hectare""}]","Crop: cassava
Parameter: root yield per plant
Fact: Each cassava stand needs to produce an average of 1.6 kg of useful roots to generate 16 tonnes of fresh cassava roots per hectare.
Explicit value: 1.6 kg
Condition: planted at 10,000 plants per hectare to achieve 16 tonnes per hectare
Recommended action: None",059df4ddca959eedddfead2ca927021430b2276a
climate,,annual rainfall,measurement,"Annual rainfall in Bismarck, North Dakota averages around 16 inches, most of which falls during May and June thunderstorms.",16.0,,,inches/year,"Bismarck, North Dakota climate",None,"annual rainfall averages around 16 inches, most of which falls during May and June thunderstorms.",0.99,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,172,172,,3aac4d07a593fa0fa13c882e09329a28ace7ba84,0.4929,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 172, ""page_end"": 172, ""chunk_id"": ""3aac4d07a593fa0fa13c882e09329a28ace7ba84"", ""evidence_quote"": ""annual rainfall averages around 16 inches, most of which falls during May and June thunderstorms.""}]","Parameter: annual rainfall
Fact: Annual rainfall in Bismarck, North Dakota averages around 16 inches, most of which falls during May and June thunderstorms.
Explicit value: 16 inches/year
Condition: Bismarck, North Dakota climate
Recommended action: None",31049f016dfb0010f6b945cc0ac3c4e22ad24695
climate,,frost days per year,threshold,"In Bismarck, North Dakota, the temperature can drop below freezing more than 220 days a year.",220.0,,,days/year,"Bismarck, North Dakota climate",None,Bismarck is not an easy place to farm—the temperature can drop below freezing more than 220 days a year,0.99,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,172,172,,3aac4d07a593fa0fa13c882e09329a28ace7ba84,0.4929,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 172, ""page_end"": 172, ""chunk_id"": ""3aac4d07a593fa0fa13c882e09329a28ace7ba84"", ""evidence_quote"": ""Bismarck is not an easy place to farm—the temperature can drop below freezing more than 220 days a year""}]","Parameter: frost days per year
Fact: In Bismarck, North Dakota, the temperature can drop below freezing more than 220 days a year.
Explicit value: 220 days/year
Condition: Bismarck, North Dakota climate
Recommended action: None",e5215d835feee5630d5d9039ca9bf4b8bd2de906
climate,maize,climatic conditions,optimal_range,Maize performs well under a wide range of climatic conditions.,,,,None,climatic conditions,None,Maize is grown over a wide range of climatic conditions because of its many divergent types.,0.98,/content/drive/MyDrive/Agronomy_Data_Source/GuidetoMaizeProductioninNorthernNigeria.pdf,GuidetoMaizeProductioninNorthernNigeria.pdf,8,8,,7ed0cb9200d3d86aa44ac0bcacb5b1eece87144b,0.5947,"[{""source_name"": ""GuidetoMaizeProductioninNorthernNigeria.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/GuidetoMaizeProductioninNorthernNigeria.pdf"", ""page_start"": 8, ""page_end"": 8, ""chunk_id"": ""7ed0cb9200d3d86aa44ac0bcacb5b1eece87144b"", ""evidence_quote"": ""Maize is grown over a wide range of climatic conditions because of its many divergent types.""}]","Crop: maize
Parameter: climatic conditions
Fact: Maize performs well under a wide range of climatic conditions.
Condition: climatic conditions
Recommended action: None",a04efa2a7fc6110ebc2590b9bbbe330bf76a3339
compost_management,,nitrate levels in compost,other_agronomic_fact,"Composts can vary significantly, and some that have matured well may have high levels of nitrate.",,,,None,well-matured composts,None,"However, it should be kept in mind that composts can vary significantly, and some that have matured well may have high levels of nitrate.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,224,224,,193782a9d0065d5ddb2e64193cb06f388d603bdd,0.6304,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 224, ""page_end"": 224, ""chunk_id"": ""193782a9d0065d5ddb2e64193cb06f388d603bdd"", ""evidence_quote"": ""However, it should be kept in mind that composts can vary significantly, and some that have matured well may have high levels of nitrate.""}]","Parameter: nitrate levels in compost
Fact: Composts can vary significantly, and some that have matured well may have high levels of nitrate.
Condition: well-matured composts
Recommended action: None",f1df0fcdb508fa1b2a5bd5469ba076eb3031da1b
